"SV.TP63"	"SV.BCL6"	"B2M.CD70.PD1.FAS.COM"	"BCL2.COMP"	"TP53.BIALLELIC"	"PI3K.MOD"	"BLC10.NOTCH2.A20.SPEN"	"CHROM.MOD.ENZYMES"	"HIST.COMP"	"NFKBALT.RASALT.JAK.STAT.ALT.RHOA.SGK1.KLH6.CD58.CD83"	"SUMC4.MUT"	"MYD88.L265"	"MYD88.OTHER"	"CD79B.MYD88.TBL1XR1.BLIMP.ETV6.ZC3H12A"
"DFCIDL001_DT"	0	3	5	0	0	2	2	0	2	2	4	0	0	0
"DFCIDL003_DT"	0	3	0	3	2	2	0	2	0	2	2	0	0	0
"DFCIDL004_DT"	0	0	3	0	0	0	4	0	2	0	2	0	0	4
"DFCIDL008_DT"	0	0	0	0	0	0	0	2	0	2	2	0	0	2
"DFCIDL009_DT"	0	0	0	1	0	2	0	2	0	0	0	0	0	0
"DFCIDL010_DT"	0	3	4	0	0	0	2	0	2	2	4	0	0	0
"DLBCL_BWH_DLBCL64"	0	3	0	0	0	0	0	2	6	4	10	0	0	0
"DLBCL_C_D_1103_NULLPAIR"	0	0	0	0	2	0	0	0	2	10	14	0	0	0
"DLBCL_C_D_1104_NULLPAIR"	0	0	0	0	2	0	0	0	0	0	0	2	0	4
"DLBCL_C_D_1105_NULLPAIR"	0	0	0	0	0	0	4	2	1	0	1	0	0	2
"DLBCL_C_D_1106_NULLPAIR"	0	3	0	0	0	0	4	0	2	0	2	0	0	0
"DLBCL_C_D_1107_NULLPAIR"	0	3	0	0	0	4	2	0	2	4	7	0	0	0
"DLBCL_C_D_1108_NULLPAIR"	0	0	0	0	2	0	0	0	0	0	1	0	0	0
"DLBCL_C_D_1109_NULLPAIR"	0	0	4	0	0	0	0	0	5	2	8	0	0	0
"DLBCL_C_D_1110_NULLPAIR"	0	0	0	5	0	0	4	2	5	1	6	0	0	0
"DLBCL_C_D_1111_NULLPAIR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DLBCL_C_D_1112_NULLPAIR"	3	0	2	0	0	0	0	2	0	2	2	0	0	0
"DLBCL_C_D_1113_NULLPAIR"	0	0	0	0	0	2	0	2	0	0	0	0	0	0
"DLBCL_C_D_1114_NULLPAIR"	0	3	2	0	0	0	0	0	4	0	4	0	2	2
"DLBCL_C_D_1115_NULLPAIR"	0	0	3	0	0	0	0	0	2	0	4	0	0	0
"DLBCL_C_D_1117_NULLPAIR"	0	0	2	0	2	0	2	0	6	2	8	0	0	0
"DLBCL_C_D_1118_NULLPAIR"	0	3	0	0	0	0	0	0	0	0	2	0	0	1
"DLBCL_C_D_1119_NULLPAIR"	0	3	0	0	0	0	2	0	0	0	0	0	0	0
"DLBCL_C_D_1120_NULLPAIR"	0	0	0	0	0	0	0	2	0	0	0	0	0	2
"DLBCL_C_D_1121_NULLPAIR"	0	0	0	5	0	2	0	2	8	12	24	0	0	0
"DLBCL_C_D_1123_NULLPAIR"	0	3	5	0	0	0	4	0	2	0	4	0	0	0
"DLBCL_C_D_1124_NULLPAIR"	0	0	0	2	0	0	0	0	1	0	5	2	0	6
"DLBCL_C_D_1125_NULLPAIR"	0	0	0	1	0	0	0	0	0	0	2	2	0	6
"DLBCL_C_D_1126_NULLPAIR"	0	0	0	0	2	1	0	0	2	0	2	0	2	2
"DLBCL_C_D_1127_NULLPAIR"	0	0	0	5	0	2	0	4	0	0	0	0	0	0
"DLBCL_C_D_1128_NULLPAIR"	0	3	2	0	0	0	0	0	0	0	0	0	0	0
"DLBCL_C_D_1129_NULLPAIR"	0	3	5	0	0	2	2	0	0	0	0	0	0	0
"DLBCL_C_D_1130_NULLPAIR"	3	3	2	0	0	0	4	1	2	0	2	0	0	0
"DLBCL_C_D_1131_NULLPAIR"	0	0	0	0	2	0	2	2	0	0	0	2	0	4
"DLBCL_C_D_1132_NULLPAIR"	0	0	2	0	0	0	2	0	0	2	5	0	0	0
"DLBCL_C_D_1133_NULLPAIR"	0	0	0	5	0	0	0	2	0	0	0	0	0	0
"DLBCL_C_D_1135_NULLPAIR"	0	3	3	0	2	0	0	2	6	0	6	0	0	0
"DLBCL_C_D_1136_NULLPAIR"	0	0	0	0	2	0	0	0	0	0	4	2	2	2
"DLBCL_C_D_1138_NULLPAIR"	0	0	0	0	0	4	0	0	4	0	4	0	0	0
"DLBCL_C_D_1139_NULLPAIR"	0	3	0	0	0	0	0	2	8	7	17	0	0	0
"DLBCL_C_D_1140_NULLPAIR"	0	0	0	0	0	0	0	0	0	0	0	0	0	2
"DLBCL_C_D_1141_NULLPAIR"	0	0	0	5	0	2	2	4	0	0	0	0	0	0
"DLBCL_C_D_1142_NULLPAIR"	0	0	0	0	0	0	0	0	0	2	2	0	0	0
"DLBCL_C_D_1144_NULLPAIR"	0	0	0	0	2	0	0	0	1	2	3	0	0	4
"DLBCL_C_D_1145_NULLPAIR"	0	0	0	0	0	4	2	0	0	2	2	0	0	2
"DLBCL_C_D_1146_NULLPAIR"	3	0	1	0	0	0	0	0	1	2	5	0	0	0
"DLBCL_C_D_1148_NULLPAIR"	0	3	5	0	0	4	0	0	2	9	12	0	0	0
"DLBCL_C_D_1149_NULLPAIR"	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"DLBCL_C_D_1150_NULLPAIR"	0	0	4	0	2	2	0	0	5	0	7	0	0	0
"DLBCL_C_D_1151_NULLPAIR"	0	3	2	0	2	4	0	0	3	8	13	0	0	1
"DLBCL_C_D_1152_NULLPAIR"	0	0	0	0	0	2	0	0	0	2	2	0	0	2
"DLBCL_C_D_1153_NULLPAIR"	0	0	0	0	0	0	0	0	8	2	10	0	0	0
"DLBCL_C_D_1154_NULLPAIR"	3	0	2	0	0	0	0	0	0	0	0	0	0	0
"DLBCL_C_D_1155_NULLPAIR"	0	3	2	0	0	0	0	0	0	0	0	0	0	0
"DLBCL_C_D_1156_NULLPAIR"	0	3	0	0	0	0	0	0	3	0	3	0	0	0
"DLBCL_C_D_1157_NULLPAIR"	0	3	0	5	0	2	0	2	1	0	1	0	0	2
"DLBCL_C_D_1158_NULLPAIR"	0	3	2	0	0	0	0	2	6	0	8	0	0	0
"DLBCL_C_D_1159_NULLPAIR"	0	3	2	0	0	0	0	0	8	2	10	0	0	2
"DLBCL_C_D_1162_NULLPAIR"	0	0	0	0	0	2	0	2	1	2	3	0	0	0
"DLBCL_C_D_1163_NULLPAIR"	0	0	0	0	0	0	0	0	2	2	6	2	0	8
"DLBCL_C_D_1166_NULLPAIR"	0	0	0	0	2	0	0	2	0	0	0	0	0	4
"DLBCL_DFCI_DLBCL_GOE05"	0	0	0	0	2	0	0	2	0	0	0	2	0	2
"DLBCL_DFCI_DLBCL_GOE07"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DLBCL_DFCI_DLBCL_GOE08"	0	0	4	0	0	0	2	0	4	4	10	0	0	0
"DLBCL_DFCI_DLBCL_GOE16"	0	0	0	5	0	2	0	4	0	0	0	0	0	0
"DLBCL_LS1065"	0	0	0	0	2	0	2	0	4	0	4	0	0	0
"DLBCL_LS1098"	0	0	2	4	0	2	0	4	2	2	4	0	0	0
"DLBCL_LS1304"	0	0	0	3	0	0	0	0	0	0	0	0	0	4
"DLBCL_LS1395"	0	0	0	4	2	0	0	4	0	2	2	0	0	0
"DLBCL_LS146"	0	0	0	0	2	0	2	0	0	2	2	0	0	0
"DLBCL_LS148"	0	0	0	0	0	0	0	0	0	2	2	0	0	3
"DLBCL_LS1546"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DLBCL_LS155"	0	0	0	5	0	2	0	2	4	4	10	0	0	0
"DLBCL_LS1583"	0	0	0	0	0	0	0	2	3	0	3	2	0	4
"DLBCL_LS1620"	0	0	0	5	0	4	0	6	0	0	0	0	0	0
"DLBCL_LS1668"	0	0	0	5	2	0	2	2	6	2	12	0	0	0
"DLBCL_LS1683"	0	0	0	0	2	0	0	2	0	2	2	0	0	2
"DLBCL_LS1757"	3	3	4	0	0	0	2	2	0	4	4	0	2	2
"DLBCL_LS1899"	0	0	0	0	0	0	0	0	1	2	7	0	0	0
"DLBCL_LS1921"	0	0	0	3	0	2	0	0	2	4	8	0	0	0
"DLBCL_LS2089"	0	0	0	0	2	0	0	0	0	0	0	2	0	4
"DLBCL_LS2154"	0	0	0	0	0	0	0	0	0	2	2	0	0	0
"DLBCL_LS2208"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DLBCL_LS2245"	0	3	2	5	0	0	0	4	0	4	4	0	0	0
"DLBCL_LS2258"	0	0	0	0	2	0	0	0	0	0	0	0	0	0
"DLBCL_LS2264"	0	0	0	3	0	0	0	0	4	2	6	0	0	2
"DLBCL_LS2305"	0	0	2	5	0	4	0	2	3	0	5	0	0	0
"DLBCL_LS2325"	0	0	0	5	0	2	2	0	2	0	2	0	0	0
"DLBCL_LS2328"	0	0	2	3	2	2	0	4	4	0	4	0	0	0
"DLBCL_LS2357"	0	0	0	0	0	2	0	0	6	6	12	0	0	0
"DLBCL_LS2367"	0	3	2	0	0	2	0	0	1	4	5	0	0	2
"DLBCL_LS2590"	0	0	0	0	0	0	0	2	3	4	11	0	0	0
"DLBCL_LS2595"	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"DLBCL_LS2596"	0	0	0	0	0	0	0	2	0	0	1	2	0	4
"DLBCL_LS2599"	0	0	2	5	0	4	0	0	0	2	6	0	0	0
"DLBCL_LS297"	0	0	0	5	0	2	0	4	2	2	6	0	0	0
"DLBCL_LS2978"	3	3	4	0	2	0	0	0	4	0	4	0	2	2
"DLBCL_LS3085"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DLBCL_LS3200"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DLBCL_LS3204"	0	0	2	0	0	0	0	0	2	2	4	0	0	0
"DLBCL_LS3245"	0	0	0	5	2	0	0	2	2	2	4	0	0	0
"DLBCL_LS3271"	0	0	0	0	0	0	0	0	7	6	17	0	0	2
"DLBCL_LS3309"	0	0	0	5	2	2	0	4	0	0	0	0	0	0
"DLBCL_LS3387"	0	0	2	5	0	4	1	2	10	4	16	0	0	0
"DLBCL_LS3499"	0	0	2	0	0	0	0	0	5	2	7	0	0	0
"DLBCL_LS3615"	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"DLBCL_LS3749"	0	0	0	0	0	0	0	0	2	0	4	0	0	0
"DLBCL_LS378"	0	3	2	0	0	0	2	2	3	0	3	0	2	2
"DLBCL_LS3808"	0	0	0	0	0	0	0	0	0	4	4	0	0	0
"DLBCL_LS3809"	0	3	2	0	0	0	0	0	0	0	0	0	0	4
"DLBCL_LS3820"	0	0	0	5	0	0	0	0	0	0	2	0	0	0
"DLBCL_LS3866"	0	0	0	0	0	0	2	0	2	2	4	0	0	0
"DLBCL_LS4054"	0	0	0	0	0	0	0	0	0	2	2	0	0	0
"DLBCL_LS4085"	0	0	0	0	0	0	0	2	0	0	1	0	0	2
"DLBCL_LS4323"	0	0	0	0	2	0	2	0	2	0	2	0	0	0
"DLBCL_LS4394"	0	3	2	0	2	0	2	4	0	0	1	0	0	0
"DLBCL_LS4592"	0	0	0	5	0	4	0	4	2	4	10	0	0	0
"DLBCL_LS4593"	0	0	0	3	0	0	0	2	4	0	4	0	0	0
"DLBCL_LS4616"	0	0	0	5	2	0	0	4	0	4	4	0	0	0
"DLBCL_LS4618"	0	0	0	5	2	0	0	2	0	2	2	0	0	0
"DLBCL_LS4619"	0	0	0	5	0	0	0	0	2	2	4	0	0	2
"DLBCL_LS762"	0	0	0	0	0	0	0	2	0	2	2	0	0	0
"DLBCL_LS843"	0	0	0	5	0	2	0	6	0	2	4	0	0	2
"DLBCL_LS88"	0	0	0	3	2	0	0	0	0	0	0	0	0	0
"DLBCL_LS951"	0	0	2	0	0	0	0	0	0	6	6	0	0	0
"DLBCL_MAYO_DLBCL_234"	0	0	0	0	0	2	2	4	4	2	6	0	0	4
"DLBCL_MAYO_DLBCL_3653"	0	0	0	0	0	0	0	0	0	3	3	0	0	2
"DLBCL_MAYO_DLBCL_5613"	0	3	2	0	0	0	2	0	0	2	2	0	0	0
"DLBCL_MAYO_DLBCL_7359"	0	0	3	0	2	0	0	0	1	0	3	0	0	0
"DLBCL_MC_F064AB"	0	0	0	5	0	0	0	2	2	2	6	0	0	2
"DLBCL_MC_F089_HCZ"	0	0	0	2	2	0	0	2	0	4	4	0	0	2
"DLBCL_MC_F089_MLB"	0	0	0	0	0	0	0	0	2	0	2	0	0	0
"DLBCL_MC_F132_MLM"	0	3	0	0	0	0	4	0	2	2	4	0	2	4
"DLBCL_MC_F139_AD"	0	3	2	0	2	2	2	0	4	0	12	0	0	0
"DLBCL_MC_F139_LJF"	0	0	2	0	0	0	0	2	4	14	23	0	0	2
"DLBCL_MC_F210_GWC"	0	0	0	0	0	0	0	0	2	2	4	0	0	0
"DLBCL_MC_F218_RAP"	0	3	0	0	0	4	0	0	4	2	9	0	0	0
"DLBCL_MC_F262_WLC"	0	3	0	0	0	0	4	0	2	2	4	0	0	0
"DLBCL_MC_F300_TBF"	0	0	0	4	0	0	2	4	2	2	4	0	2	4
"DLBCL_MC_F307_JPS"	0	3	0	0	0	0	0	0	0	0	0	0	0	0
"DLBCL_MC_F339_JPS2"	0	0	5	0	0	0	0	0	1	0	1	0	0	4
"DLBCL_MC_F344_CJS"	0	0	0	5	0	4	0	4	0	6	8	0	2	2
"DLBCL_MC_F349_BJJ"	0	0	0	5	0	2	0	4	0	0	0	0	0	0
"DLBCL_MC_F358_WDS"	0	0	0	5	0	3	0	4	4	0	4	0	0	0
"DLBCL_MC_F362_MJB1"	0	0	0	3	0	0	0	4	0	0	2	0	0	2
"DLBCL_MC_F496DMP"	0	3	0	0	0	0	0	2	2	0	2	0	0	0
"DLBCL_MC_F500_ECU"	0	0	0	0	0	0	0	0	1	0	1	0	0	2
"DLBCL_MC_F502_RFK"	0	0	0	5	2	4	0	2	0	0	0	0	0	0
"DLBCL_MC_F519_ALT"	0	0	0	0	0	0	2	0	0	0	0	0	0	2
"DLBCL_MC_F606_DMJ"	0	0	0	5	0	0	0	2	0	0	0	0	0	0
"DLBCL_MC_F648_JKW"	0	3	2	0	2	0	0	0	0	2	4	0	0	0
"DLBCL_MC_F729_MAN"	0	0	0	0	2	0	0	1	1	0	1	0	0	0
"DLBCL_MC_F739_AMA3"	0	0	0	5	2	2	0	4	3	2	5	0	0	0
"DLBCL_MC_F815_BAT"	3	0	0	5	0	0	0	2	1	4	7	0	2	3
"DLBCL_MC_F927_JHS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DLBCL_MC_F959_ERM"	0	3	3	0	2	0	0	2	2	0	2	2	0	2
"DLBCL_MC_F990_MNA"	0	0	0	0	0	0	1	0	0	2	2	2	0	6
"DLBCL_RICOVER_1013"	0	0	0	5	0	0	0	4	1	0	1	0	0	0
"DLBCL_RICOVER_1018"	0	0	0	0	0	0	0	0	5	6	13	0	0	0
"DLBCL_RICOVER_102"	0	0	0	0	0	0	0	0	0	2	4	0	0	0
"DLBCL_RICOVER_1032"	0	0	0	0	2	0	0	0	2	2	4	2	0	6
"DLBCL_RICOVER_1045"	0	0	2	0	0	0	0	0	2	6	10	0	2	2
"DLBCL_RICOVER_1046"	0	0	0	3	2	0	0	4	0	0	0	0	0	0
"DLBCL_RICOVER_105"	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"DLBCL_RICOVER_1060"	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"DLBCL_RICOVER_1061"	0	0	2	0	0	2	0	2	8	6	16	0	0	1
"DLBCL_RICOVER_107"	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"DLBCL_RICOVER_1072"	0	0	0	0	0	0	0	0	2	4	8	0	2	2
"DLBCL_RICOVER_1081"	0	0	2	0	0	0	2	4	1	2	7	0	0	2
"DLBCL_RICOVER_1106"	0	0	0	0	0	0	0	0	4	0	8	2	0	6
"DLBCL_RICOVER_111"	0	0	0	0	0	2	2	2	0	0	0	0	0	1
"DLBCL_RICOVER_1138"	0	0	4	0	0	0	2	0	4	12	17	0	0	0
"DLBCL_RICOVER_1144"	0	3	2	0	0	0	2	0	2	2	6	2	2	4
"DLBCL_RICOVER_1150"	0	3	5	0	0	0	0	0	1	2	3	0	0	2
"DLBCL_RICOVER_1165"	0	0	0	0	2	0	0	2	0	0	0	0	2	2
"DLBCL_RICOVER_1169"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DLBCL_RICOVER_1190"	0	3	0	0	0	0	0	2	0	0	0	0	0	0
"DLBCL_RICOVER_1192"	0	0	0	0	0	0	0	2	0	0	0	2	0	4
"DLBCL_RICOVER_1199"	0	0	0	5	0	0	0	0	6	2	10	0	0	0
"DLBCL_RICOVER_120"	0	3	2	0	0	0	2	2	0	0	0	0	0	2
"DLBCL_RICOVER_1204"	0	0	0	0	0	0	0	2	8	0	10	0	0	6
"DLBCL_RICOVER_1210"	0	0	0	0	2	0	0	4	2	2	4	0	0	0
"DLBCL_RICOVER_1219"	0	0	0	0	0	0	0	0	0	2	4	2	0	4
"DLBCL_RICOVER_1235"	0	0	0	5	2	0	2	3	0	0	2	0	0	0
"DLBCL_RICOVER_1237"	0	0	0	0	0	0	0	0	0	0	0	0	2	2
"DLBCL_RICOVER_1247"	0	0	0	0	0	0	0	0	3	4	9	0	0	2
"DLBCL_RICOVER_1248"	0	3	0	0	0	0	2	0	0	2	2	2	0	4
"DLBCL_RICOVER_1257"	0	0	0	0	0	0	0	0	2	0	2	0	0	2
"DLBCL_RICOVER_126"	0	0	0	5	2	2	0	2	0	0	0	0	0	0
"DLBCL_RICOVER_1263"	0	0	0	5	0	4	0	2	0	4	4	0	0	0
"DLBCL_RICOVER_1269"	0	0	0	2	0	4	0	2	0	0	3	0	0	0
"DLBCL_RICOVER_1278"	0	0	0	1	2	0	0	0	7	0	10	0	2	3
"DLBCL_RICOVER_1283"	0	0	0	5	0	2	0	2	0	0	1	0	0	0
"DLBCL_RICOVER_1287"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DLBCL_RICOVER_1289"	0	0	0	0	0	0	0	2	8	2	10	2	0	6
"DLBCL_RICOVER_1293"	0	0	0	0	0	0	0	0	0	0	2	2	0	8
"DLBCL_RICOVER_1299"	0	0	0	0	0	0	0	0	2	2	8	0	0	2
"DLBCL_RICOVER_1329"	0	0	0	0	0	0	0	0	0	0	0	0	2	2
"DLBCL_RICOVER_134"	0	0	0	0	0	0	0	2	0	2	2	2	0	4
"DLBCL_RICOVER_148"	0	0	0	0	0	0	0	0	0	6	8	0	0	0
"DLBCL_RICOVER_150"	0	0	0	0	0	0	0	0	2	0	4	2	0	4
"DLBCL_RICOVER_151"	0	0	0	0	2	2	0	0	4	2	11	0	0	0
"DLBCL_RICOVER_173"	0	0	0	0	0	0	0	0	2	0	2	2	0	6
"DLBCL_RICOVER_174"	0	0	2	0	2	0	2	0	0	0	0	0	0	0
"DLBCL_RICOVER_181"	0	3	0	0	0	0	4	2	1	4	5	0	0	2
"DLBCL_RICOVER_197"	0	0	0	0	0	0	0	0	0	0	4	0	0	0
"DLBCL_RICOVER_208"	0	0	0	4	2	0	0	0	0	2	2	0	0	0
"DLBCL_RICOVER_215"	0	0	0	0	0	0	0	0	0	0	0	0	0	2
"DLBCL_RICOVER_216"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DLBCL_RICOVER_221"	0	0	0	0	0	0	0	2	2	0	2	0	0	4
"DLBCL_RICOVER_224"	0	0	0	0	0	2	0	0	0	0	0	0	0	4
"DLBCL_RICOVER_253"	0	3	0	0	2	0	0	2	0	0	0	0	0	0
"DLBCL_RICOVER_258"	0	0	0	0	0	0	4	0	0	0	0	0	2	4
"DLBCL_RICOVER_266"	0	3	0	0	0	0	0	0	0	0	0	0	0	0
"DLBCL_RICOVER_267"	0	0	0	5	0	2	0	4	2	0	4	0	0	2
"DLBCL_RICOVER_269"	0	0	0	5	0	0	0	2	0	4	4	0	0	0
"DLBCL_RICOVER_274"	0	0	0	0	2	0	0	0	10	2	14	2	0	2
"DLBCL_RICOVER_288"	0	0	0	0	2	0	0	0	2	0	3	0	0	0
"DLBCL_RICOVER_290"	0	3	4	0	0	0	3	1	2	0	2	0	2	2
"DLBCL_RICOVER_299"	0	0	0	5	0	2	0	4	0	0	0	0	0	1
"DLBCL_RICOVER_314"	0	0	0	0	2	2	0	0	0	4	4	0	0	0
"DLBCL_RICOVER_320"	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"DLBCL_RICOVER_325"	0	0	0	0	2	0	0	0	0	0	0	0	0	0
"DLBCL_RICOVER_335"	0	0	0	0	2	0	0	0	4	4	8	0	0	0
"DLBCL_RICOVER_336"	0	0	2	0	0	0	0	0	4	8	14	0	0	0
"DLBCL_RICOVER_338"	0	0	2	0	0	0	0	0	0	4	8	0	0	0
"DLBCL_RICOVER_342"	0	0	0	0	0	2	0	0	0	2	4	0	0	0
"DLBCL_RICOVER_361"	0	0	0	0	0	0	0	0	0	6	8	0	0	0
"DLBCL_RICOVER_384"	0	0	0	2	0	6	0	4	2	0	2	0	0	0
"DLBCL_RICOVER_401"	0	0	0	5	2	2	2	2	0	0	0	0	0	0
"DLBCL_RICOVER_408"	0	0	0	0	0	2	0	0	0	2	4	0	0	0
"DLBCL_RICOVER_417"	3	0	0	0	0	0	0	0	0	0	0	2	0	6
"DLBCL_RICOVER_431"	0	0	0	0	0	0	0	0	2	2	8	2	0	4
"DLBCL_RICOVER_440"	0	0	0	5	2	2	0	2	0	2	2	0	0	0
"DLBCL_RICOVER_449"	0	3	0	0	0	0	0	2	2	0	2	2	0	6
"DLBCL_RICOVER_451"	0	0	4	0	0	0	6	0	0	2	2	0	0	0
"DLBCL_RICOVER_463"	0	0	0	0	0	2	0	2	0	2	2	0	0	0
"DLBCL_RICOVER_467"	3	0	3	0	2	0	0	2	0	0	0	0	0	6
"DLBCL_RICOVER_469"	0	0	2	5	0	2	2	4	0	0	0	0	0	0
"DLBCL_RICOVER_473"	0	0	0	0	0	0	6	2	2	0	4	0	0	2
"DLBCL_RICOVER_478"	0	0	0	0	0	0	2	0	0	0	0	0	2	2
"DLBCL_RICOVER_496"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DLBCL_RICOVER_506"	0	0	0	0	0	0	0	0	0	0	0	0	0	2
"DLBCL_RICOVER_522"	0	0	2	5	0	0	0	2	6	6	12	0	0	0
"DLBCL_RICOVER_533"	0	0	0	0	0	2	0	0	0	6	6	0	0	0
"DLBCL_RICOVER_543"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DLBCL_RICOVER_554"	0	0	0	0	0	0	0	2	1	8	11	0	0	0
"DLBCL_RICOVER_575"	0	0	4	0	0	2	2	0	2	0	4	0	0	0
"DLBCL_RICOVER_577"	0	0	0	0	0	2	2	6	2	0	2	0	0	0
"DLBCL_RICOVER_583"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DLBCL_RICOVER_585"	0	3	3	0	0	0	0	0	0	2	3	2	0	6
"DLBCL_RICOVER_597"	0	0	0	0	0	0	0	0	8	2	12	2	0	6
"DLBCL_RICOVER_617"	0	0	2	0	0	2	2	0	4	2	10	0	0	0
"DLBCL_RICOVER_623"	0	0	0	0	0	0	0	2	0	0	4	0	0	0
"DLBCL_RICOVER_678"	0	0	3	0	2	0	2	0	0	0	0	0	0	0
"DLBCL_RICOVER_685"	0	0	0	0	0	0	0	0	0	0	2	2	0	8
"DLBCL_RICOVER_692"	0	0	2	0	0	2	2	0	7	4	17	0	0	2
"DLBCL_RICOVER_694"	0	3	2	0	0	0	0	0	2	0	2	0	0	0
"DLBCL_RICOVER_701"	0	0	0	0	0	0	1	0	2	6	10	0	0	0
"DLBCL_RICOVER_704"	0	0	2	0	0	0	0	0	0	0	0	0	0	2
"DLBCL_RICOVER_711"	0	3	0	0	0	0	0	0	6	2	10	0	0	0
"DLBCL_RICOVER_712"	0	0	0	0	0	0	0	0	2	0	2	0	0	2
"DLBCL_RICOVER_720"	0	3	0	0	0	0	0	0	0	0	0	2	0	6
"DLBCL_RICOVER_744"	0	0	0	5	0	2	3	4	0	0	0	0	0	0
"DLBCL_RICOVER_763"	0	0	0	0	0	0	0	0	0	2	2	0	0	2
"DLBCL_RICOVER_773"	0	0	0	0	0	0	0	4	0	0	0	2	0	4
"DLBCL_RICOVER_780"	0	0	0	2	2	2	0	2	2	2	4	0	0	0
"DLBCL_RICOVER_787"	0	0	0	0	0	2	2	0	0	6	6	0	0	0
"DLBCL_RICOVER_822"	0	0	0	0	2	0	0	2	2	0	2	0	0	0
"DLBCL_RICOVER_826"	0	3	2	0	0	2	2	0	2	2	8	0	0	2
"DLBCL_RICOVER_829"	0	3	2	0	2	0	4	0	1	0	4	0	2	5
"DLBCL_RICOVER_839"	0	0	0	0	2	0	0	0	0	2	2	0	0	0
"DLBCL_RICOVER_850"	0	0	0	0	0	0	0	0	0	0	2	0	2	6
"DLBCL_RICOVER_865"	0	3	5	0	0	0	4	0	2	3	5	0	0	0
"DLBCL_RICOVER_866"	0	0	0	5	0	8	0	6	6	8	20	0	0	0
"DLBCL_RICOVER_910"	0	0	0	0	0	0	0	0	2	0	2	0	0	0
"DLBCL_RICOVER_945"	0	0	2	0	0	2	2	0	4	0	4	0	0	2
"DLBCL_RICOVER_948"	0	0	0	3	2	0	0	0	0	0	0	0	0	0
"DLBCL_RICOVER_950"	0	0	0	0	0	2	0	0	3	4	9	0	0	0
"DLBCL_RICOVER_956"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DLBCL_RICOVER_977"	0	3	2	0	0	0	6	0	4	0	6	0	2	2
"DLBCL_RICOVER_978"	0	0	2	0	0	2	6	4	4	0	6	0	0	0
"DLBCL_RICOVER_985"	0	0	0	0	0	0	0	0	0	8	11	0	0	0
"DLBCL_RICOVER_99"	0	0	0	0	0	0	2	0	0	0	0	0	2	4
