"maxVal"	"cluster"	"correct"	"trueCluster"	"SV.TP63"	"SV.BCL6"	"BLC10.NOTCH2.A20.SPEN"	"B2M.CD70.PD1.FAS.com"	"X21Q.AMP"	"GENOME_DOUBLING"	"Sum.CNAs.C2"	"TP53.biallelic"	"BCL2.comp"	"Chrom.Mod.Enzymes"	"Pi3K.Mod"	"Hist.comp"	"NFKBalt.RASalt.JAK.STAT.alt.RHOA.SGK1.KLH6.cd58.cd83"	"SumC4.mut"	"X18Q.AMP"	"MYD88.L265"	"sumCNAs.C5"	"MYD88.OTHER"	"X2P16.1.AMP"	"CD79B.MYD88.TBL1XR1.BLIMP.ETV6.ZC3H12A"	"X9p21.3.DEL"
"dlbcl_c_d_1111_nullpair"	0.306929111480713	1	FALSE	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_ricover_473"	0.377741456031799	1	TRUE	1	0	0	6	0	0	0	4	0	0	2	0	2	0	4	0	0	2	0	0	2	0
"dlbcl_ricover_197"	0.411729574203491	1	FALSE	2	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0
"dlbcl_c_d_1132_nullpair"	0.49087393283844	1	TRUE	1	0	0	2	2	0	0	1	0	0	0	0	0	2	5	0	0	0	0	0	0	0
"dlbcl_ricover_597"	0.509136736392975	1	FALSE	5	0	0	0	0	0	0	4	1	0	0	0	8	2	12	1	2	2	0	0	6	0
"dlbcl_c_d_1146_nullpair"	0.534103274345398	1	TRUE	1	3	0	0	1	0	3	9	0	0	0	0	1	2	5	0	0	0	0	2	0	0
"dlbcl_ls2367"	0.538877248764038	1	TRUE	1	0	3	0	2	0	0	5	0	0	0	2	1	4	5	1	0	2	0	0	2	0
"dlbcl_mc_f339_jps2"	0.547203004360199	1	FALSE	4	0	0	0	5	0	0	2	0	0	0	0	1	0	1	1	0	4	0	0	4	0
"dlbcl_c_d_1148_nullpair"	0.553052365779877	1	FALSE	5	0	3	0	5	0	0	4	0	0	0	4	2	9	12	0	0	0	0	2	0	0
"dlbcl_ls3866"	0.565036356449127	1	TRUE	1	0	0	2	0	0	0	1	0	0	0	0	2	2	4	0	0	0	0	0	0	0
"dlbcl_c_d_1118_nullpair"	0.583289563655853	1	FALSE	3	0	3	0	0	0	0	11	0	0	0	0	0	0	2	0	0	0	0	2	1	1
"dlbcl_ricover_711"	0.695284307003021	1	FALSE	5	0	3	0	0	0	0	11	1	0	0	0	6	2	10	0	0	0	0	2	0	0
"dlbcl_c_d_1106_nullpair"	0.769259512424469	1	TRUE	1	0	3	4	0	0	0	9	0	0	0	0	2	0	2	0	0	2	0	0	0	1
"dlbcl_ricover_575"	0.772391736507416	1	TRUE	1	0	0	2	4	0	0	3	0	0	0	2	2	0	4	0	0	1	0	0	0	0
"dlbcl_ricover_120"	0.81720632314682	1	TRUE	1	0	3	2	2	0	0	4	0	0	2	0	0	0	0	0	0	2	0	0	2	0
"dlbcl_ls2978"	0.856697857379913	1	TRUE	1	3	3	0	4	0	0	6	2	0	0	0	4	0	4	0	0	0	2	2	2	0
"dlbcl_ricover_978"	0.85847681760788	1	FALSE	2	0	0	6	2	0	0	7	0	0	4	2	4	0	6	0	0	1	0	1	0	0
"dlbcl_c_d_1155_nullpair"	0.867146253585815	1	TRUE	1	0	3	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0
"dlbcl_ricover_1144"	0.870202124118805	1	TRUE	1	0	3	2	2	0	0	1	0	0	0	0	2	2	6	0	2	0	2	0	4	0
"dlbcl_ricover_181"	0.872965931892395	1	TRUE	1	0	3	4	0	0	0	3	0	0	2	0	1	4	5	1	0	2	0	0	2	0
"dlbcl_c_d_1128_nullpair"	0.878309786319733	1	TRUE	1	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_ricover_1150"	0.878560245037079	1	TRUE	1	0	3	0	5	1	0	4	0	0	0	0	1	2	3	1	0	2	0	0	2	0
"dlbcl_ricover_826"	0.881844043731689	1	TRUE	1	0	3	2	2	0	0	5	1	0	0	2	2	2	8	0	0	1	0	0	2	0
"dlbcl_ricover_694"	0.88882052898407	1	TRUE	1	0	3	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0
"dlbcl_mayo_dlbcl_5613"	0.893050968647003	1	TRUE	1	0	3	2	2	0	0	3	0	0	0	0	0	2	2	0	0	2	0	0	0	0
"dlbcl_mc_f648_jkw"	0.894018411636353	1	TRUE	1	0	3	0	2	0	0	4	2	0	0	0	0	2	4	0	0	2	0	0	0	0
"dlbcl_mc_f132_mlm"	0.901620149612427	1	TRUE	1	0	3	4	0	0	0	1	0	0	0	0	2	2	4	0	0	0	2	0	4	0
"dlbcl_ls378"	0.908359050750732	1	TRUE	1	0	3	2	2	0	0	3	0	0	2	0	3	0	3	0	0	0	2	0	2	0
"dlbcl_ricover_865"	0.91791558265686	1	TRUE	1	0	3	4	5	0	3	8	1	0	0	1	2	3	5	0	0	2	0	0	0	0
"dlbcl_ls1757"	0.919755160808563	1	TRUE	1	3	3	2	4	0	0	7	1	0	2	0	0	4	4	0	0	0	2	0	2	0
"dlbcl_c_d_1123_nullpair"	0.928574025630951	1	TRUE	1	0	3	4	5	0	0	6	0	0	0	0	2	0	4	0	0	1	0	0	0	0
"dlbcl_ricover_290"	0.929506480693817	1	TRUE	1	0	3	3	4	0	0	2	0	0	1	0	2	0	2	0	0	1	2	1	2	0
"dlbcl_c_d_1114_nullpair"	0.929704248905182	1	TRUE	1	0	3	0	2	0	0	2	0	0	0	0	4	0	4	0	0	0	2	0	2	0
"dlbcl_c_d_1130_nullpair"	0.929815530776978	1	TRUE	1	3	3	4	2	0	0	6	0	0	1	0	2	0	2	0	0	0	0	0	0	0
"dlbcl_c_d_1112_nullpair"	0.368549793958664	2	FALSE	1	3	0	0	2	1	0	3	0	0	2	0	0	2	2	0	0	2	0	0	0	0
"dlbcl_ls3615"	0.381785452365875	2	TRUE	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"dlbcl_ricover_1081"	0.389007836580276	2	FALSE	5	0	0	2	2	0	0	3	0	0	4	1	1	2	7	0	0	0	0	0	2	0
"dlbcl_ls155"	0.465848833322525	2	TRUE	2	0	0	0	0	0	0	0	0	5	2	2	4	4	10	0	0	0	0	0	0	0
"dlbcl_c_d_1162_nullpair"	0.491387933492661	2	TRUE	2	0	0	0	0	0	0	2	0	0	2	2	1	2	3	0	0	0	0	0	0	0
"dlbcl_ls762"	0.52363783121109	2	TRUE	2	0	0	0	0	0	0	0	0	0	2	0	0	2	2	1	0	2	0	0	0	0
"dlbcl_ls3309"	0.577333629131317	2	FALSE	3	0	0	0	0	0	3	23	3	5	4	3	0	0	0	0	0	2	0	1	0	0
"dlbcl_ricover_1190"	0.62384968996048	2	FALSE	4	0	3	0	0	0	0	2	0	0	2	0	0	0	0	1	0	4	0	0	0	0
"dlbcl_mc_f815_bat"	0.709319055080414	2	TRUE	2	3	0	0	0	0	0	6	0	5	2	0	1	4	7	0	0	1	2	2	3	0
"dlbcl_ls4619"	0.727425873279572	2	TRUE	2	0	0	0	0	0	0	6	0	5	0	0	2	2	4	0	0	0	0	1	2	1
"dlbcl_ricover_111"	0.757246911525726	2	TRUE	2	0	0	2	0	0	0	3	0	0	2	2	0	0	0	1	0	2	0	1	1	0
"dlbcl_ls2245"	0.778455674648285	2	TRUE	2	0	3	0	2	0	0	11	1	5	4	0	0	4	4	0	0	1	0	1	0	0
"dlbcl_mc_f606_dmj"	0.805653989315033	2	TRUE	2	0	0	0	0	1	0	8	1	5	2	1	0	0	0	0	0	0	0	0	0	1
"dlbcl_mc_f362_mjb1"	0.806459963321686	2	TRUE	2	0	0	0	0	0	0	8	1	3	4	0	0	0	2	0	0	0	0	0	2	1
"dlbcl_ricover_463"	0.826596558094025	2	TRUE	2	0	0	0	0	0	0	3	0	0	2	2	0	2	2	0	0	0	0	1	0	0
"dlbcl_ls2599"	0.84646600484848	2	TRUE	2	0	0	0	2	0	0	4	0	5	0	4	0	2	6	0	0	0	0	0	0	0
"dlbcl_c_d_1110_nullpair"	0.873300075531006	2	TRUE	2	0	0	4	0	0	0	3	0	5	2	0	5	1	6	1	0	2	0	0	0	0
"dlbcl_ls1395"	0.884161174297333	2	TRUE	2	0	0	0	0	0	0	6	3	4	4	0	0	2	2	0	0	0	0	0	0	0
"dlbcl_ls4616"	0.888043105602264	2	TRUE	2	0	0	0	0	0	0	6	3	5	4	0	0	4	4	0	0	0	0	0	0	0
"dlbcl_c_d_1141_nullpair"	0.890679478645325	2	TRUE	2	0	0	2	0	2	0	6	0	5	4	2	0	0	0	2	0	3	0	2	0	0
"dlbcl_ricover_469"	0.892715334892273	2	TRUE	2	0	0	2	2	0	0	2	0	5	4	2	0	0	0	0	0	0	0	0	0	0
"dlbcl_ls297"	0.907523989677429	2	TRUE	2	0	0	0	0	0	0	4	0	5	4	3	2	2	6	0	0	1	0	0	0	0
"dlbcl_ricover_577"	0.908611238002777	2	TRUE	2	0	0	2	0	0	0	3	0	0	6	3	2	0	2	2	0	4	0	0	0	0
"dlbcl_c_d_1113_nullpair"	0.909337759017944	2	TRUE	2	0	0	0	0	0	0	2	0	0	2	2	0	0	0	0	0	0	0	1	0	0
"dlbcl_mc_f344_cjs"	0.9093998670578	2	TRUE	2	0	0	0	0	0	0	6	0	5	4	5	0	6	8	0	0	0	2	1	2	0
"dlbcl_ls1620"	0.917037427425385	2	TRUE	2	0	0	0	0	0	0	1	0	5	6	5	0	0	0	0	0	0	0	0	0	0
"dlbcl_ricover_866"	0.919537663459778	2	FALSE	5	0	0	0	0	0	0	10	0	5	6	8	6	8	20	0	0	0	0	2	0	0
"dlbcl_c_d_1127_nullpair"	0.923003613948822	2	TRUE	2	0	0	0	0	0	0	4	0	5	4	3	0	0	0	0	0	0	0	0	0	0
"dlbcl_ricover_269"	0.931282222270966	2	TRUE	2	0	0	0	0	0	0	7	0	5	2	0	0	4	4	1	0	2	0	0	0	0
"dlbcl_ricover_384"	0.941718935966492	2	TRUE	2	0	0	0	0	0	0	15	0	2	4	7	2	0	2	0	0	0	0	1	0	1
"dlbcl_mc_f358_wds"	0.947060644626617	2	TRUE	2	0	0	0	0	0	0	3	0	5	4	3	4	0	4	0	0	0	0	0	0	0
"dlbcl_ls4054"	0.30043751001358	3	TRUE	3	0	0	0	0	0	0	3	0	0	0	0	0	2	2	0	0	0	0	0	0	1
"dlbcl_c_d_1154_nullpair"	0.39210969209671	3	FALSE	1	3	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"dlbcl_ricover_1060"	0.414553821086884	3	TRUE	3	0	0	0	2	0	0	4	0	0	0	0	0	0	0	1	0	3	0	0	0	0
"dlbcl_ricover_1046"	0.530205130577087	3	FALSE	2	0	0	0	0	0	0	12	3	3	4	1	0	0	0	1	0	3	0	0	0	0
"dlbcl_mc_f959_erm"	0.545279622077942	3	TRUE	3	0	3	0	3	0	3	15	2	0	2	0	2	0	2	2	2	6	0	2	2	0
"dlbcl_ricover_780"	0.564038634300232	3	TRUE	3	0	0	0	0	0	0	14	3	2	2	2	2	2	4	0	0	3	0	2	0	0
"dlbcl_ls2089"	0.56777548789978	3	TRUE	3	0	0	0	0	0	3	18	3	0	0	0	0	0	0	2	2	5	0	0	4	0
"dlbcl_ls2328"	0.573139369487762	3	TRUE	3	0	0	0	2	1	0	16	3	3	4	3	4	0	4	0	0	0	0	0	0	0
"dlbcl_mc_f927_jhs"	0.581784069538116	3	FALSE	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_ricover_408"	0.600876331329346	3	FALSE	5	0	0	0	0	2	0	7	0	0	0	2	0	2	4	0	0	2	0	2	0	0
"dlbcl_ls1921"	0.631781101226807	3	TRUE	3	0	0	0	0	1	0	20	1	3	0	2	2	4	8	0	0	0	0	2	0	0
"dlbcl_mc_f210_gwc"	0.675253510475159	3	TRUE	3	0	0	0	0	0	0	7	0	0	0	0	2	2	4	1	0	1	0	1	0	0
"dlbcl_ricover_1169"	0.711670637130737	3	TRUE	3	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"dlbcl_ricover_320"	0.721584856510162	3	FALSE	2	0	0	0	0	1	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"dlbcl_c_d_1135_nullpair"	0.735445857048035	3	TRUE	3	0	3	0	3	1	0	15	2	0	2	1	6	0	6	1	0	4	0	0	0	0
"dlbcl_ricover_1072"	0.814510345458984	3	TRUE	3	0	0	0	0	0	0	19	0	0	0	0	2	4	8	0	0	1	2	1	2	1
"dlbcl_ricover_335"	0.834873199462891	3	TRUE	3	0	0	0	0	1	3	22	3	0	0	0	4	4	8	0	0	1	0	2	0	1
"dlbcl_mc_f990_mna"	0.84060674905777	3	TRUE	3	0	0	1	0	0	3	23	1	0	0	0	0	2	2	0	2	3	0	1	6	1
"dlbcl_ricover_174"	0.841916620731354	3	TRUE	3	0	0	2	2	1	3	21	3	0	0	1	0	0	0	0	0	1	0	0	0	0
"dlbcl_mc_f739_ama3"	0.860026657581329	3	TRUE	3	0	0	0	0	2	3	24	3	5	4	2	3	2	5	1	0	2	0	0	0	1
"dlbcl_ricover_623"	0.863347470760345	3	TRUE	3	0	0	0	0	1	0	14	1	0	2	0	0	0	4	0	0	2	0	2	0	0
"dlbcl_ls88"	0.880406022071838	3	TRUE	3	0	0	0	0	0	0	10	3	3	0	0	0	0	0	0	0	3	0	0	0	1
"dlbcl_mc_f729_man"	0.890881299972534	3	TRUE	3	0	0	0	0	0	0	7	2	0	1	0	1	0	1	0	0	1	0	0	0	1
"dlbcl_ricover_126"	0.896677911281586	3	TRUE	3	0	0	0	0	2	3	20	3	5	2	2	0	0	0	0	0	1	0	2	0	1
"dlbcl_mc_f089_hcz"	0.902579545974731	3	TRUE	3	0	0	0	0	1	0	16	2	2	2	0	0	4	4	0	0	1	0	0	2	1
"dlbcl_ls3204"	0.906599342823029	3	TRUE	3	0	0	0	2	1	3	12	0	0	0	0	2	2	4	0	0	0	0	1	0	0
"dlbcl_ricover_533"	0.910567164421082	3	TRUE	3	0	0	0	0	1	3	21	0	0	0	2	0	6	6	1	0	2	0	1	0	0
"dlbcl_ricover_1235"	0.91641891002655	3	TRUE	3	0	0	2	0	2	3	21	3	5	3	1	0	0	2	1	0	1	0	2	0	0
"dlbcl_ls146"	0.916583955287933	3	TRUE	3	0	0	2	0	1	3	21	3	0	0	1	0	2	2	1	0	5	0	2	0	0
"dlbcl_ricover_253"	0.919163405895233	3	TRUE	3	0	3	0	0	0	3	27	3	0	2	0	0	0	0	0	0	1	0	1	0	1
"dlbcl_ricover_299"	0.924154222011566	3	TRUE	3	0	0	0	0	1	3	26	1	5	4	2	0	0	0	1	0	3	0	2	1	1
"dlbcl_ls3749"	0.925643980503082	3	TRUE	3	0	0	0	0	1	3	22	0	0	0	1	2	0	4	0	0	2	0	2	0	1
"dlbcl_mayo_dlbcl_7359"	0.925891518592834	3	TRUE	3	0	0	0	3	1	3	21	3	0	0	0	1	0	3	1	0	6	0	2	0	0
"dlbcl_ricover_839"	0.926413476467133	3	TRUE	3	0	0	0	0	1	0	8	3	0	0	0	0	2	2	0	0	0	0	0	0	1
"dlbcl_ricover_288"	0.930274724960327	3	TRUE	3	0	0	0	0	1	3	19	2	0	0	0	2	0	3	0	0	1	0	2	0	1
"dlbcl_ls2258"	0.941437304019928	3	TRUE	3	0	0	0	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_c_d_1108_nullpair"	0.449887096881866	4	FALSE	3	0	0	0	0	1	3	11	2	0	0	0	0	0	1	1	0	6	0	0	0	0
"dlbcl_ricover_822"	0.45004215836525	4	FALSE	3	0	0	0	0	0	0	10	2	0	2	0	2	0	2	2	0	6	0	1	0	1
"dlbcl_c_d_1131_nullpair"	0.47230651974678	4	FALSE	3	0	0	2	0	0	0	11	2	0	2	0	0	0	0	0	2	0	0	0	4	0
"dlbcl_ricover_506"	0.551104187965393	4	TRUE	4	0	0	0	0	0	0	11	0	0	0	1	0	0	0	1	0	5	0	1	2	1
"dlbcl_c_d_1105_nullpair"	0.579598307609558	4	TRUE	4	0	0	4	0	0	0	4	1	0	2	0	1	0	1	0	0	2	0	0	2	0
"dlbcl_ricover_1165"	0.606290102005005	4	FALSE	3	0	0	0	0	0	0	6	3	0	2	0	0	0	0	0	0	2	2	0	2	0
"dlbcl_ricover_763"	0.611996352672577	4	TRUE	4	0	0	0	0	0	0	9	1	0	0	0	0	2	2	1	0	4	0	0	2	0
"dlbcl_c_d_1120_nullpair"	0.648838996887207	4	TRUE	4	0	0	0	0	0	0	3	0	0	2	0	0	0	0	1	0	2	0	0	2	0
"dlbcl_ricover_216"	0.711034774780273	4	FALSE	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0
"dlbcl_c_d_1140_nullpair"	0.712744653224945	4	TRUE	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
"dlbcl_mayo_dlbcl_3653"	0.718807101249695	4	FALSE	5	0	0	0	0	0	0	1	0	0	0	0	0	3	3	0	0	0	0	0	2	0
"dlbcl_ricover_585"	0.729971289634705	4	TRUE	4	0	3	0	3	0	0	5	0	0	0	0	0	2	3	1	2	7	0	0	6	1
"dlbcl_ls2208"	0.742977678775787	4	TRUE	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0
"dlbcl_c_d_1142_nullpair"	0.771519482135773	4	TRUE	4	0	0	0	0	0	0	3	1	0	0	0	0	2	2	2	0	6	0	0	0	0
"dlbcl_mc_f089_mlb"	0.77513325214386	4	TRUE	4	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	4	0	0	0	0
"dlbcl_ricover_431"	0.783473968505859	4	TRUE	4	0	0	0	0	0	0	6	0	0	0	0	2	2	8	0	2	3	0	0	4	0
"dlbcl_ls1304"	0.794223546981812	4	TRUE	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	4	0
"dlbcl_ls3809"	0.799340665340424	4	FALSE	1	0	3	0	2	1	0	3	0	0	0	0	0	0	0	1	0	2	0	0	4	0
"dlbcl_ricover_173"	0.826291561126709	4	TRUE	4	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	6	0
"dlbcl_ricover_773"	0.826948046684265	4	TRUE	4	0	0	0	0	0	0	4	0	0	4	0	0	0	0	1	2	3	0	0	4	0
"dlbcl_ricover_1287"	0.829197227954865	4	TRUE	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0
"dlbcl_ricover_478"	0.846461534500122	4	FALSE	1	0	0	2	0	0	0	6	0	0	0	0	0	0	0	1	0	4	2	0	2	0
"dlbcl_ricover_1032"	0.847487032413483	4	TRUE	4	0	0	0	0	0	0	11	3	0	0	0	2	2	4	0	2	4	0	0	6	0
"dlbcl_ricover_467"	0.848219275474548	4	TRUE	4	3	0	0	3	0	3	12	3	0	2	0	0	0	0	2	0	8	0	0	6	0
"dlbcl_c_d_1144_nullpair"	0.852511346340179	4	TRUE	4	0	0	0	0	0	0	1	2	0	0	0	1	2	3	1	0	3	0	0	4	0
"dlbcl_ls1683"	0.867106080055237	4	TRUE	4	0	0	0	0	0	0	6	2	0	2	0	0	2	2	2	0	6	0	1	2	0
"dlbcl_ricover_215"	0.877269506454468	4	TRUE	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0
"dlbcl_ricover_850"	0.887592315673828	4	TRUE	4	0	0	0	0	1	0	7	0	0	0	0	0	0	2	0	0	2	2	1	6	0
"dlbcl_ls4085"	0.896561205387115	4	TRUE	4	0	0	0	0	0	0	4	0	0	2	0	0	0	1	1	0	4	0	0	2	0
"dlbcl_ricover_417"	0.899733603000641	4	TRUE	4	3	0	0	0	0	0	4	0	0	0	0	0	0	0	1	2	3	0	0	6	0
"dlbcl_ricover_712"	0.900204360485077	4	TRUE	4	0	0	0	0	0	0	2	0	0	0	0	2	0	2	1	0	5	0	0	2	0
"dlbcl_c_d_1163_nullpair"	0.902602791786194	4	TRUE	4	0	0	0	0	0	0	0	0	0	0	0	2	2	6	0	2	2	0	0	8	0
"dlbcl_ricover_720"	0.904391407966614	4	TRUE	4	0	3	0	0	0	0	6	0	0	0	0	0	0	0	1	2	6	0	0	6	0
"dlbcl_ricover_583"	0.906919300556183	4	TRUE	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	5	0	0	0	0
"dlbcl_ricover_704"	0.910050332546234	4	TRUE	4	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	2	0
"dlbcl_ricover_1106"	0.911645472049713	4	TRUE	4	0	0	0	0	0	0	5	0	0	0	0	4	0	8	2	2	8	0	0	6	0
"dlbcl_mc_f519_alt"	0.915504634380341	4	TRUE	4	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	5	0	0	2	1
"dlbcl_ricover_99"	0.917324542999268	4	TRUE	4	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	4	2	0	4	0
"dlbcl_c_d_1104_nullpair"	0.919230461120605	4	TRUE	4	0	0	0	0	0	0	4	3	0	0	0	0	0	0	1	2	3	0	0	4	0
"dlbcl_ricover_685"	0.933747291564941	4	TRUE	4	0	0	0	0	0	0	6	0	0	0	0	0	0	2	0	2	1	0	0	8	0
"dlbcl_ricover_1248"	0.942323386669159	4	TRUE	4	0	3	2	0	0	0	6	0	0	0	0	0	2	2	2	2	9	0	0	4	0
"dlbcl_ricover_134"	0.952664613723755	4	TRUE	4	0	0	0	0	0	0	5	1	0	2	0	0	2	2	2	2	8	0	0	4	0
"dlbcl_c_d_1125_nullpair"	0.957302093505859	4	TRUE	4	0	0	0	0	0	0	3	0	1	0	0	0	0	2	1	2	6	0	0	6	0
"dlbcl_c_d_1138_nullpair"	0.420871376991272	5	TRUE	5	0	0	0	0	0	0	3	0	0	0	4	4	0	4	1	0	4	0	0	0	0
"dlbcl_ricover_910"	0.491194814443588	5	FALSE	1	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0
"dlbcl_ricover_1018"	0.494762659072876	5	TRUE	5	0	0	0	0	0	3	18	1	0	0	1	5	6	13	0	0	3	0	1	0	0
"dlbcl_ricover_342"	0.503922820091248	5	TRUE	5	0	0	0	0	0	0	1	0	0	0	2	0	2	4	0	0	0	0	0	0	0
"dlbcl_ls2154"	0.519550085067749	5	FALSE	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0
"dlbcl_mc_f139_ad"	0.533232867717743	5	FALSE	1	0	3	2	2	0	0	1	2	0	0	2	4	0	12	0	0	0	0	0	0	0
"dlbcl_ls3387"	0.543186664581299	5	TRUE	5	0	0	1	2	0	0	2	0	5	2	4	10	4	16	0	0	0	0	0	0	0
"dlbcl_mayo_dlbcl_234"	0.546174943447113	5	FALSE	2	0	0	2	0	0	0	2	0	0	4	2	4	2	6	0	0	0	0	2	4	0
"dlbcl_ricover_338"	0.610311329364777	5	TRUE	5	0	0	0	2	0	0	1	0	0	0	0	0	4	8	0	0	0	0	0	0	0
"dlbcl_ls1899"	0.614631652832031	5	TRUE	5	0	0	0	0	0	0	2	0	0	0	0	1	2	7	0	0	0	0	0	0	0
"dlbcl_ls3499"	0.624594330787659	5	TRUE	5	0	0	0	2	0	0	3	0	0	0	0	5	2	7	0	0	0	0	2	0	0
"dlbcl_ricover_274"	0.632841348648071	5	TRUE	5	0	0	0	0	0	0	6	2	0	0	0	10	2	14	0	2	0	0	0	2	0
"dlbcl_ricover_102"	0.731000900268555	5	TRUE	5	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0
"dlbcl_ls2590"	0.740486562252045	5	TRUE	5	0	0	0	0	0	0	2	0	0	2	0	3	4	11	0	0	1	0	0	0	0
"dlbcl_bwh_dlbcl64"	0.75278252363205	5	FALSE	1	0	3	0	0	0	0	8	0	0	2	0	6	4	10	0	0	0	0	2	0	0
"dlbcl_c_d_1151_nullpair"	0.758457362651825	5	TRUE	5	0	3	0	2	1	0	3	3	0	0	4	3	8	13	0	0	0	0	0	1	0
"dlbcl_ricover_1247"	0.765421092510223	5	TRUE	5	0	0	0	0	0	0	0	0	0	0	0	3	4	9	0	0	0	0	0	2	0
"dlbcl_ricover_617"	0.790826857089996	5	TRUE	5	0	0	2	2	1	0	5	0	0	0	2	4	2	10	0	0	0	0	2	0	0
"dlbcl_ls951"	0.796030580997467	5	TRUE	5	0	0	0	2	1	0	5	0	0	0	1	0	6	6	0	0	0	0	1	0	0
"dlbcl_ls3271"	0.801201283931732	5	TRUE	5	0	0	0	0	0	0	1	0	0	0	0	7	6	17	0	0	0	0	0	2	0
"dlbcl_ricover_148"	0.832120478153229	5	TRUE	5	0	0	0	0	0	0	5	1	0	0	0	0	6	8	0	0	0	0	0	0	0
"dlbcl_ricover_701"	0.83747398853302	5	TRUE	5	0	0	1	0	0	0	0	0	0	0	0	2	6	10	0	0	0	0	0	0	0
"dlbcl_ricover_985"	0.874777853488922	5	TRUE	5	0	0	0	0	0	0	5	0	0	0	0	0	8	11	0	0	0	0	1	0	0
"dlbcl_c_d_1153_nullpair"	0.886639177799225	5	TRUE	5	0	0	0	0	0	0	7	0	0	0	0	8	2	10	1	0	2	0	0	0	0
"dlbcl_c_d_1109_nullpair"	0.900317907333374	5	TRUE	5	0	0	0	4	0	0	1	0	0	0	0	5	2	8	0	0	0	0	1	0	0
"dlbcl_ricover_361"	0.918535947799683	5	TRUE	5	0	0	0	0	0	0	0	0	0	0	0	0	6	8	0	0	0	0	0	0	0
"dlbcl_ricover_1138"	0.935035169124603	5	TRUE	5	0	0	2	4	0	0	2	0	0	0	0	4	12	17	0	0	0	0	0	0	0
"dlbcl_mc_f139_ljf"	0.93651407957077	5	TRUE	5	0	0	0	2	1	0	6	0	0	2	0	4	14	23	0	0	0	0	1	2	0
